,Label,X,Y,x,y
0,regular,0.0015625,0.0625,0.3734375,0.584375
1,regular,0.0015625,0.0671875,0.3796875,0.5890625
2,regular,0.0015625,0.08125,0.5234375,0.465625
3,regular,0.0015625,0.1015625,0.4734375,0.3421875
4,regular,0.0015625,0.128125,0.4609375,0.65
5,regular,0.0015625,0.1703125,0.4234375,0.6953125
6,regular,0.0015625,0.19375,0.5078125,0.515625
7,regular,0.0015625,0.196875,0.2984375,0.69375
8,regular,0.0015625,0.24375,0.3671875,0.7625
9,regular,0.0015625,0.290625,0.4734375,0.80625
10,regular,0.0015625,0.2,0.4921875,0.48125
11,regular,0.0015625,0.334375,0.3296875,0.84375
12,regular,0.0015625,0.3421875,0.5234375,0.7921875
13,regular,0.0015625,0.375,0.4453125,0.9
14,regular,0.0015625,0.4109375,0.3203125,0.8453125
15,regular,0.0015625,0.41875,0.3140625,0.921875
16,regular,0.0015625,0.4578125,0.3421875,0.9703125
17,regular,0.0015625,0.5546875,0.1625,0.715625
18,regular,0.0015625,0.6171875,0.5203125,0.9890625
19,regular,0.0015625,0.68125,0.2296875,0.878125
20,regular,0.003125,0.009375,0.340625,0.353125
21,regular,0.003125,0.0546875,0.5703125,0.4328125
22,regular,0.003125,0.153125,0.315625,0.65625
23,regular,0.003125,0.203125,0.521875,0.565625
24,regular,0.003125,0.221875,0.1484375,0.4015625
25,regular,0.003125,0.290625,0.365625,0.809375
26,regular,0.003125,0.325,0.1203125,0.465625
27,regular,0.003125,0.3484375,0.140625,0.475
28,regular,0.003125,0.375,0.440625,0.9
29,regular,0.003125,0.39375,0.1796875,0.5640625
30,regular,0.003125,0.403125,0.50625,0.71875
31,regular,0.003125,0.4390625,0.51875,0.7953125
32,regular,0.003125,0.5140625,0.51875,0.9890625
33,regular,0.003125,0.51875,0.1234375,0.6109375
34,regular,0.003125,0.53125,0.190625,0.678125
35,regular,0.003125,0.559375,0.478125,0.80625
36,regular,0.003125,0.5796875,0.1578125,0.728125
37,regular,0.0046875,0.0640625,0.5296875,0.5015625
38,regular,0.0046875,0.1796875,0.5015625,0.4734375
39,regular,0.0046875,0.19375,0.4078125,0.65
40,regular,0.0046875,0.20625,0.4828125,0.721875
41,regular,0.0046875,0.221875,0.4890625,0.490625
42,regular,0.0046875,0.228125,0.1203125,0.3484375
43,regular,0.0046875,0.2546875,0.4796875,0.7703125
44,regular,0.0046875,0.2609375,0.121875,0.39375
45,regular,0.0046875,0.2890625,0.175,0.4609375
46,regular,0.0046875,0.3484375,0.4953125,0.8546875
47,regular,0.0046875,0.38125,0.4703125,0.9
48,regular,0.0046875,0.4171875,0.4234375,0.8734375
49,regular,0.0046875,0.7140625,0.14375,0.834375
50,regular,0.00625,0.0796875,0.19375,0.2328125
51,regular,0.00625,0.0921875,0.1859375,0.2625
52,regular,0.00625,0.1984375,0.515625,0.5296875
53,regular,0.00625,0.20625,0.521875,0.68125
54,regular,0.00625,0.2546875,0.3875,0.7765625
55,regular,0.00625,0.321875,0.53125,0.734375
56,regular,0.00625,0.3328125,0.528125,0.7171875
57,regular,0.00625,0.340625,0.49375,0.85
58,regular,0.00625,0.4359375,0.2015625,0.634375
59,regular,0.00625,0.4640625,0.1765625,0.6359375
60,regular,0.00625,0.546875,0.503125,0.840625
61,regular,0.00625,0.609375,0.409375,0.975
62,regular,0.00625,0.7125,0.1890625,0.865625
63,regular,0.0078125,0.0609375,0.2921875,0.5546875
64,regular,0.0078125,0.065625,0.2828125,0.478125
65,regular,0.0078125,0.0875,0.1375,0.2203125
66,regular,0.0078125,0.109375,0.5078125,0.60625
67,regular,0.0078125,0.140625,0.2578125,0.61875
68,regular,0.0078125,0.15625,0.1375,0.2765625
69,regular,0.0078125,0.1671875,0.5328125,0.5671875
70,regular,0.0078125,0.20625,0.4015625,0.73125
71,regular,0.0078125,0.2109375,0.3734375,0.7296875
72,regular,0.0078125,0.26875,0.5234375,0.61875
73,regular,0.0078125,0.384375,0.5328125,0.790625
74,regular,0.0078125,0.3984375,0.4484375,0.9234375
75,regular,0.0078125,0.4203125,0.4609375,0.7859375
76,regular,0.0078125,0.4703125,0.5109375,0.9640625
77,regular,0.0078125,0.4765625,0.4171875,0.7453125
78,regular,0.0078125,0.5171875,0.5046875,0.8109375
79,regular,0.0078125,0.58125,0.5015625,0.86875
80,regular,0.0078125,0.675,0.3,0.95625
81,regular,0.0078125,0.7296875,0.209375,0.95625
82,regular,0.0078125,0.7640625,0.146875,0.903125
83,regular,0.0078125,0.8140625,0.128125,0.9390625
84,regular,0.009375,0.0390625,0.50625,0.3359375
85,regular,0.009375,0.071875,0.296875,0.565625
86,regular,0.009375,0.121875,0.2875,0.6125
87,regular,0.009375,0.1484375,0.328125,0.5828125
88,regular,0.009375,0.1765625,0.253125,0.6515625
89,regular,0.009375,0.196875,0.503125,0.7
90,regular,0.009375,0.2234375,0.45625,0.7453125
91,regular,0.009375,0.259375,0.50625,0.759375
92,regular,0.009375,0.2703125,0.484375,0.5140625
93,regular,0.009375,0.2984375,0.534375,0.6921875
94,regular,0.009375,0.371875,0.5,0.65
95,regular,0.009375,0.4328125,0.51875,0.9171875
96,regular,0.009375,0.475,0.375,0.99375
97,regular,0.009375,0.49375,0.509375,0.990625
98,regular,0.009375,0.571875,0.1515625,0.7015625
99,regular,0.009375,0.715625,0.1703125,0.875
100,regular,0.009375,0.7421875,0.1640625,0.8921875
101,regular,0.0109375,0.0078125,0.5328125,0.4640625
102,regular,0.0109375,0.0765625,0.5109375,0.3828125
103,regular,0.0109375,0.10625,0.1625,0.2578125
104,regular,0.0109375,0.16875,0.15,0.2890625
105,regular,0.0109375,0.2140625,0.3203125,0.7171875
106,regular,0.0109375,0.2234375,0.4546875,0.7484375
107,regular,0.0109375,0.2734375,0.5328125,0.6640625
108,regular,0.0109375,0.2765625,0.2890625,0.7671875
109,regular,0.0109375,0.36875,0.5265625,0.846875
110,regular,0.0109375,0.4328125,0.4359375,0.8859375
111,regular,0.0109375,0.65,0.5203125,0.978125
112,regular,0.0109375,0.6984375,0.13125,0.7984375
113,regular,0.0109375,0.740625,0.1625,0.8921875
114,regular,0.0125,0.0203125,0.5,0.5296875
115,regular,0.0125,0.2484375,0.175,0.4125
116,regular,0.0125,0.2,0.525,0.68125
117,regular,0.0125,0.390625,0.50625,0.89375
118,regular,0.0125,0.421875,0.49375,0.934375
119,regular,0.0125,0.4234375,0.3859375,0.8515625
120,regular,0.0125,0.4390625,0.49375,0.9515625
121,regular,0.0125,0.459375,0.325,0.775
122,regular,0.0125,0.4703125,0.509375,0.9703125
123,regular,0.0125,0.4828125,0.45,0.9328125
124,regular,0.0125,0.5453125,0.1703125,0.696875
125,regular,0.0125,0.55625,0.534375,0.934375
126,regular,0.0140625,0.00625,0.5390625,0.428125
127,regular,0.0140625,0.009375,0.5296875,0.3625
128,regular,0.0140625,0.03125,0.225,0.2375
129,regular,0.0140625,0.096875,0.5265625,0.440625
130,regular,0.0140625,0.134375,0.3578125,0.646875
131,regular,0.0140625,0.153125,0.5234375,0.6375
132,regular,0.0140625,0.2515625,0.4953125,0.7640625
133,regular,0.0140625,0.2703125,0.3078125,0.7671875
134,regular,0.0140625,0.35625,0.171875,0.5140625
135,regular,0.0140625,0.559375,0.1890625,0.73125
136,regular,0.0140625,0.628125,0.5203125,0.95
137,regular,0.0140625,0.71875,0.19375,0.8875
138,regular,0.015625,0.0203125,0.36875,0.5359375
139,regular,0.015625,0.0234375,0.5375,0.4765625
140,regular,0.015625,0.1546875,0.51875,0.4703125
141,regular,0.015625,0.225,0.41875,0.68125
142,regular,0.015625,0.2625,0.384375,0.78125
143,regular,0.015625,0.2640625,0.503125,0.5390625
144,regular,0.015625,0.2,0.5,0.709375
145,regular,0.015625,0.3734375,0.534375,0.7328125
146,regular,0.015625,0.41875,0.5,0.6875
147,regular,0.015625,0.440625,0.44375,0.89375
148,regular,0.015625,0.4421875,0.5375,0.8953125
149,regular,0.015625,0.484375,0.25,0.671875
150,regular,0.015625,0.546875,0.1453125,0.6859375
151,regular,0.0171875,0.0125,0.2921875,0.5
152,regular,0.0171875,0.05625,0.3296875,0.559375
153,regular,0.0171875,0.0953125,0.4984375,0.3546875
154,regular,0.0171875,0.096875,0.5390625,0.55625
155,regular,0.0171875,0.190625,0.4671875,0.7125
156,regular,0.0171875,0.4125,0.1390625,0.5421875
157,regular,0.0171875,0.4421875,0.5140625,0.7359375
158,regular,0.0171875,0.4421875,0.5421875,0.8609375
159,regular,0.0171875,0.465625,0.5203125,0.959375
160,regular,0.0171875,0.5,0.5203125,0.99375
161,regular,0.01875,0.15625,0.225,0.3640625
162,regular,0.01875,0.2140625,0.51875,0.5203125
163,regular,0.01875,0.3515625,0.528125,0.8390625
164,regular,0.01875,0.384375,0.465625,0.909375
165,regular,0.01875,0.3953125,0.534375,0.8671875
166,regular,0.01875,0.3953125,0.54375,0.8328125
167,regular,0.01875,0.4734375,0.190625,0.6484375
168,regular,0.01875,0.478125,0.54375,0.86875
169,regular,0.01875,0.4984375,0.54375,0.9359375
170,regular,0.01875,0.540625,0.521875,0.85625
171,regular,0.0203125,0.0109375,0.3265625,0.5140625
172,regular,0.0203125,0.065625,0.5421875,0.446875
173,regular,0.0203125,0.159375,0.3546875,0.6
174,regular,0.0203125,0.2265625,0.5453125,0.6453125
175,regular,0.0203125,0.325,0.5453125,0.76875
176,regular,0.0203125,0.4296875,0.1625,0.5796875
177,regular,0.0203125,0.5140625,0.4296875,0.7796875
178,regular,0.0203125,0.759375,0.18125,0.8609375
179,regular,0.0203125,0.8328125,0.159375,0.9234375
180,regular,0.021875,0.0359375,0.54375,0.4921875
181,regular,0.021875,0.0375,0.546875,0.478125
182,regular,0.021875,0.040625,0.375,0.55625
183,regular,0.021875,0.059375,0.3625,0.503125
184,regular,0.021875,0.08125,0.478125,0.471875
185,regular,0.021875,0.084375,0.1421875,0.253125
186,regular,0.021875,0.1484375,0.51875,0.6484375
187,regular,0.021875,0.159375,0.3875,0.678125
188,regular,0.021875,0.1859375,0.5,0.6984375
189,regular,0.021875,0.2015625,0.375,0.7171875
190,regular,0.021875,0.21875,0.540625,0.5875
191,regular,0.021875,0.2484375,0.434375,0.7734375
192,regular,0.021875,0.2484375,0.540625,0.7171875
193,regular,0.021875,0.3640625,0.546875,0.8046875
194,regular,0.021875,0.4984375,0.1484375,0.65
195,regular,0.021875,0.53125,0.51875,0.825
196,regular,0.021875,0.775,0.1484375,0.915625
197,regular,0.0234375,0.0625,0.3359375,0.565625
198,regular,0.0234375,0.1109375,0.4671875,0.6359375
199,regular,0.0234375,0.1375,0.3984375,0.659375
200,regular,0.0234375,0.240625,0.4359375,0.765625
201,regular,0.0234375,0.240625,0.4984375,0.75625
202,regular,0.0234375,0.240625,0.5296875,0.5625
203,regular,0.0234375,0.3890625,0.5234375,0.8859375
204,regular,0.0234375,0.4640625,0.5265625,0.9578125
205,regular,0.0234375,0.51875,0.275,0.778125
206,regular,0.0234375,0.5375,0.5359375,0.88125
207,regular,0.0234375,0.559375,0.1796875,0.71875
208,regular,0.0234375,0.5921875,0.4453125,0.8859375
209,regular,0.0234375,0.6640625,0.165625,0.796875
210,regular,0.0234375,0.79375,0.184375,0.9546875
211,regular,0.025,0.0109375,0.546875,0.4671875
212,regular,0.025,0.11875,0.546875,0.509375
213,regular,0.025,0.1578125,0.48125,0.5421875
214,regular,0.025,0.2109375,0.29375,0.6953125
215,regular,0.025,0.2875,0.50625,0.8
216,regular,0.025,0.315625,0.496875,0.553125
217,regular,0.025,0.3421875,0.26875,0.5203125
218,regular,0.025,0.3,0.1796875,0.4515625
219,regular,0.025,0.5453125,0.146875,0.646875
220,regular,0.025,0.5828125,0.1796875,0.7375
221,regular,0.025,0.625,0.2515625,0.821875
222,regular,0.025,0.7359375,0.14375,0.875
223,regular,0.025,0.7921875,0.228125,0.99375
224,regular,0.0265625,0.00625,0.3921875,0.525
